invoice_id,stock_code,product_category,unit_price,quantity,customer_id,id,first_name,last_name,email,gender
1,HWLNKJW2,Outdoors,9.54,64,12,12,Alvie,Hulls,ahullsb@studiopress.com,M
2,45GMR3MZ,Automotive,5.94,4,133,133,Guglielmo,Viger,gviger3o@moonfruit.com,M
3,T66RETFR,Toys,80.07,84,49,49,Salomone,Hitcham,shitcham1c@wix.com,M
4,VRFSURFQ,Home,59.90,59,228,228,Lydia,Hollyar,lhollyar6b@flavors.me,F
5,VSQFUZCE,Jewelry,75.62,50,184,184,Prentice,Bossom,pbossom53@examiner.com,M
6,BF4RLGOC,Automotive,45.49,31,215,215,Jedediah,Camelli,jcamelli5y@foxnews.com,M
7,DWFFK0OL,Clothing,7.34,46,35,35,Winnie,Hannaway,whannawayy@microsoft.com,M
8,CHOLN4AT,Automotive,112.51,38,177,177,Morgen,Desporte,mdesporte4w@ameblo.jp,M
9,GAAUWTZ3,Automotive,66.82,49,17,17,Jerrome,Shambrook,jshambrookg@ustream.tv,M
10,1SS9NJ9K,Electronics,98.77,68,81,81,Adolphus,Bunford,abunford28@stanford.edu,M
11,NDZG97KF,Movies,58.79,20,98,98,Gayla,Ashwell,gashwell2p@sfgate.com,F
12,132GF5KU,Music,93.89,34,231,231,Quentin,Foard,qfoard6e@imgur.com,M
13,WQTVJFVD,Sports,31.60,74,61,61,Ilyssa,Hanlin,ihanlin1o@mysql.com,F
14,ZKS41NB5,Clothing,10.96,82,37,37,Clayson,Manuely,cmanuely10@google.pl,M
15,EGT0JUUJ,Computers,92.57,28,235,235,Winna,Ashelford,washelford6i@comcast.net,F
16,57Y8KW1B,Games,133.94,84,162,162,Dante,Demaine,ddemaine4h@amazon.co.jp,M
17,ARI7H7F1,Shoes,133.10,59,1,1,Traver,Jakubovitch,tjakubovitch0@aol.com,M
18,EL1XTSST,Music,123.94,42,117,117,Clarisse,Parell,cparell38@newyorker.com,F
19,83D6B18W,Books,87.04,20,242,242,Durante,Feacham,dfeacham6p@mysql.com,M
20,WXTC7PUL,Tools,36.12,68,112,112,Burnaby,Trotman,btrotman33@loc.gov,M
21,1RSKFCX7,Computers,83.21,11,180,180,Clary,Linnett,clinnett4z@cpanel.net,F
22,18PUBYX9,Beauty,123.14,37,116,116,Vincents,Cutill,vcutill37@berkeley.edu,M
23,AW9KE0YW,Computers,73.36,85,218,218,Hewe,Thing,hthing61@oakley.com,M
24,MO0C0K03,Movies,146.86,35,235,235,Winna,Ashelford,washelford6i@comcast.net,F
25,MOWEQ4TD,Toys,43.82,23,57,57,Tedda,Bounde,tbounde1k@example.com,F
26,G9UTWHK8,Grocery,100.09,12,89,89,Gus,Wilne,gwilne2g@arstechnica.com,F
27,EGDFZ7LO,Beauty,10.07,52,89,89,Gus,Wilne,gwilne2g@arstechnica.com,F
28,3ESX6VEB,Garden,30.00,56,217,217,Alta,Bernardin,abernardin60@theglobeandmail.com,F
29,GW8I9YHX,Jewelry,91.35,46,150,150,Barthel,Isaak,bisaak45@freewebs.com,M
30,0S9DFZKQ,Industrial,26.86,13,197,197,Andie,Khoter,akhoter5g@rakuten.co.jp,F
31,LAFO6LC4,Toys,145.86,98,110,110,Georges,Sinfield,gsinfield31@about.me,M
32,F3PG7J2A,Outdoors,83.80,61,36,36,Morris,Straneo,mstraneoz@rambler.ru,M
33,NUEFXLU0,Outdoors,121.92,66,134,134,Maryann,Mildenhall,mmildenhall3p@washington.edu,F
34,2PYWC73E,Garden,33.18,47,50,50,Sonia,Berger,sberger1d@arstechnica.com,F
35,I45LJS4Z,Automotive,146.34,69,104,104,Hewet,Ruggs,hruggs2v@youtu.be,M
36,TVIUT32V,Music,12.44,49,58,58,Tamara,Heathwood,theathwood1l@bbb.org,F
37,OQBL2N29,Garden,135.51,20,37,37,Clayson,Manuely,cmanuely10@google.pl,M
38,LZSWHOAQ,Outdoors,149.50,55,17,17,Jerrome,Shambrook,jshambrookg@ustream.tv,M
39,3BOYFU4L,Computers,119.86,15,70,70,Baily,Kwietek,bkwietek1x@shutterfly.com,M
40,SLXRPCXF,Home,34.11,75,176,176,Codi,MacAlaster,cmacalaster4v@creativecommons.org,F
41,G5PAAVWT,Beauty,69.91,54,200,200,Kayle,Iskowicz,kiskowicz5j@elegantthemes.com,F
